bezirk,gruppe,jahr_2010,jahr_2022,differenz_2022_minus_2010
Erlenbach (ZH),mean_kinder_0_12,6.875722543352601,6.751066856330014,-0.124655687022587
Erlenbach (ZH),mean_erw_18_64,43.95803183791606,42.946583850931674,-1.0114479869843862
Erlenbach (ZH),mean_erw_65plus,76.44389438943894,74.75414634146341,-1.6897480479755274
Fehraltorf,mean_kinder_0_12,6.701199563794984,6.243589743589744,-0.4576098202052403
Fehraltorf,mean_erw_18_64,42.83721488595438,41.481408520068946,-1.3558063658854351
Fehraltorf,mean_erw_65plus,74.4770848985725,73.42318059299191,-1.0539043055805877
Feuerthalen,mean_kinder_0_12,6.7420718816067655,6.39225181598063,-0.3498200656261359
Feuerthalen,mean_erw_18_64,42.62198731501057,40.849220103986134,-1.772767211024437
Feuerthalen,mean_erw_65plus,76.12516644474034,75.87145242070117,-0.2537140240391693
Fischenthal,mean_kinder_0_12,7.137195121951219,6.609065155807365,-0.5281299661438537
Fischenthal,mean_erw_18_64,42.866867469879516,41.48160535117057,-1.385262118708944
Fischenthal,mean_erw_65plus,73.67028199566161,75.31493506493507,1.6446530692734598
Flaach,mean_kinder_0_12,6.41919191919192,7.402777777777778,0.9835858585858581
Flaach,mean_erw_18_64,43.49946062567422,42.056320400500624,-1.4431402251735932
Flaach,mean_erw_65plus,75.44604316546763,76.07920792079207,0.6331647553244437
Flurlingen,mean_kinder_0_12,6.388888888888889,7.17741935483871,0.7885304659498207
Flurlingen,mean_erw_18_64,44.09331919406151,42.523394994559304,-1.5699241995022035
Flurlingen,mean_erw_65plus,76.1258064516129,75.04201680672269,-1.0837896448902171
Freienstein-Teufen,mean_kinder_0_12,6.958646616541353,7.273722627737226,0.31507601119587303
Freienstein-Teufen,mean_erw_18_64,44.58093278463649,42.85330713817944,-1.7276256464570494
Freienstein-Teufen,mean_erw_65plus,74.34239130434783,73.32132132132132,-1.021069983026507
Fällanden,mean_kinder_0_12,6.563401670463174,6.338403041825095,-0.22499862863807873
Fällanden,mean_erw_18_64,42.22014537902388,42.136792452830186,-0.08335292619369739
Fällanden,mean_erw_65plus,75.86942328618063,73.90443213296399,-1.9649911532166442
Geroldswil,mean_kinder_0_12,6.8433566433566435,6.219178082191781,-0.6241785611648627
Geroldswil,mean_erw_18_64,42.10709718670077,42.318167150693775,0.2110699639930047
Geroldswil,mean_erw_65plus,75.71325518485122,73.94792899408284,-1.765326190768377
Glattfelden,mean_kinder_0_12,6.752906976744186,6.496415770609319,-0.256491206134867
Glattfelden,mean_erw_18_64,43.22120496160662,41.563424947145876,-1.6577800144607409
Glattfelden,mean_erw_65plus,75.01916572717023,73.89112227805695,-1.128043449113278
Gossau (ZH),mean_kinder_0_12,6.706772908366534,6.6894001643385375,-0.01737274402799649
Gossau (ZH),mean_erw_18_64,42.99361736077868,42.01990613367859,-0.9737112271000896
Gossau (ZH),mean_erw_65plus,75.42394678492239,74.17818642993025,-1.245760354992143
Greifensee,mean_kinder_0_12,6.770231213872832,6.321027287319422,-0.4492039265534098
Greifensee,mean_erw_18_64,42.55107960038672,40.84508816120907,-1.7059914391776516
Greifensee,mean_erw_65plus,76.9700996677741,73.2603430877901,-3.7097565799839884
Grüningen,mean_kinder_0_12,6.552380952380952,6.558673469387755,0.006292517006802889
Grüningen,mean_erw_18_64,42.86198137171888,42.088698140200286,-0.7732832315185973
Grüningen,mean_erw_65plus,75.00895140664962,74.9919191919192,-0.017032214730420492
Hagenbuch,mean_kinder_0_12,6.434523809523809,6.0606060606060606,-0.37391774891774876
Hagenbuch,mean_erw_18_64,44.31048951048951,42.207692307692305,-2.1027972027972055
Hagenbuch,mean_erw_65plus,73.24630541871922,74.2,0.9536945812807858
Hausen am Albis,mean_kinder_0_12,6.870563674321503,6.628378378378378,-0.2421852959431252
Hausen am Albis,mean_erw_18_64,44.3031847133758,42.710045662100455,-1.5931390512753438
Hausen am Albis,mean_erw_65plus,74.82044887780549,73.55684007707129,-1.263608800734204
Hedingen,mean_kinder_0_12,7.096234309623431,7.05708245243129,-0.03915185719214076
Hedingen,mean_erw_18_64,42.97974068071313,42.13433495360142,-0.8454057271117108
Hedingen,mean_erw_65plus,74.46776406035666,73.54229934924078,-0.9254647111158789
Henggart,mean_kinder_0_12,6.9664179104477615,6.758620689655173,-0.2077972207925889
Henggart,mean_erw_18_64,43.26385809312639,42.22505462490896,-1.0388034682174307
